"name","latitude","longitude"
"Немережеві книгарні",49.842778,24.036667
"Немережеві книгарні",50.44,30.548611
"Немережеві книгарні",50.446944,30.521389
"Немережеві книгарні",49.797778,30.121944
"Немережеві книгарні",50.466667,30.521667
"Немережеві книгарні",49.040278,24.353333
"Немережеві книгарні",50.619444,26.246667
"Немережеві книгарні",50.468056,30.513056
"Немережеві книгарні",50.407778,25.763056
"Немережеві книгарні",48.920556,24.707222
"Немережеві книгарні",48.920556,24.706944
"Немережеві книгарні",50.441389,30.519444
"Немережеві книгарні",49.224444,28.421944
"Немережеві книгарні",50.448056,30.503611
"Немережеві книгарні",46.647222,32.629722
"Немережеві книгарні",46.464167,30.745278
"Немережеві книгарні",50.453056,30.526667
"Немережеві книгарні",49.444722,32.065
"Немережеві книгарні",49.810833,23.992222
"Немережеві книгарні",49.351667,23.506944
"Немережеві книгарні",50.431389,30.515556
"Немережеві книгарні",49.550833,25.591944
"Немережеві книгарні",50.909722,34.795833
"Немережеві книгарні",49.444722,32.055833
"Немережеві книгарні",50.5825,30.487222
"Немережеві книгарні",50.440278,30.519444
"Немережеві книгарні",50.515278,30.774722
"Немережеві книгарні",48.174722,23.2925
"Немережеві книгарні",50.448889,30.512222
"Немережеві книгарні",50.398056,30.340833
"Немережеві книгарні",50.485833,30.496111
"Немережеві книгарні",50.493611,30.5775
"Немережеві книгарні",50.438611,30.523056
"Немережеві книгарні",49.849167,24.021944
"Немережеві книгарні",46.416111,30.710833
"Немережеві книгарні",48.511667,35.0725
"Немережеві книгарні",48.426111,35.030278
"Немережеві книгарні",50.746111,25.329722
"Немережеві книгарні",48.432778,35.002222
"Немережеві книгарні",50.889444,34.831389
"Немережеві книгарні",46.483611,30.729444
"Немережеві книгарні",47.839444,35.124167
"Немережеві книгарні",50.904167,34.806389
"Немережеві книгарні",49.232222,28.472222
"Немережеві книгарні",49.217222,28.440833
"Немережеві книгарні",46.482778,30.735278
"Немережеві книгарні",48.624722,22.297778
"Немережеві книгарні",50.538333,30.257778
"Немережеві книгарні",50.4125,30.664167
"Немережеві книгарні",50.509444,30.2325
"Немережеві книгарні",48.440833,22.7225
"Немережеві книгарні",50.440278,30.55
"Немережеві книгарні",50.422222,30.540556
"Немережеві книгарні",50.441944,30.5225
"Немережеві книгарні",50.432222,30.513056
"Немережеві книгарні",50.431667,30.620278
"Немережеві книгарні",50.459444,30.505833
"Немережеві книгарні",50.450556,30.525833
"Немережеві книгарні",50.451667,30.510833
"Немережеві книгарні",48.5275,25.038333
"Немережеві книгарні",49.424167,26.988056
"Немережеві книгарні",50.460278,30.522222
"Немережеві книгарні",50.449722,30.523056
"Немережеві книгарні",48.173611,25.3375
"Немережеві книгарні",51.334444,26.616944
"Немережеві книгарні",51.3325,26.5925
"Немережеві книгарні",48.919444,24.7125
"Немережеві книгарні",51.226389,24.039444
"Немережеві книгарні",49.797778,30.121944
"Немережеві книгарні",49.986389,36.215278
"Немережеві книгарні",50.876944,26.455556
"Немережеві книгарні",49.0625,25.395556
"Немережеві книгарні",50.911111,34.820556
"Немережеві книгарні",48.625556,22.299167
"Немережеві книгарні",48.529167,35.869444
"Немережеві книгарні",50.180278,27.063056
"Немережеві книгарні",50.180833,27.061944
"Немережеві книгарні",50.177778,27.065
"Немережеві книгарні",50.402778,30.625833
"Немережеві книгарні",48.2925,24.561944
"Мережа Книгарень «Є»",49.795278,30.115556
"Мережа Книгарень «Є»",50.390278,30.366667
"Мережа Книгарень «Є»",49.233889,28.461667
"Мережа Книгарень «Є»",50.436389,30.615278
"Мережа Книгарень «Є»",50.383611,30.460278
"Мережа Книгарень «Є»",50.846111,24.319722
"Мережа Книгарень «Є»",48.463889,35.050556
"Мережа Книгарень «Є»",50.253333,28.663611
"Мережа Книгарень «Є»",50.416667,30.633611
"Мережа Книгарень «Є»",47.839722,35.136389
"Мережа Книгарень «Є»",48.920833,24.706111
"Мережа Книгарень «Є»",48.919444,24.712778
"Мережа Книгарень «Є»",49.024722,24.368056
"Мережа Книгарень «Є»",50.431667,30.516389
"Мережа Книгарень «Є»",50.439444,30.515278
"Мережа Книгарень «Є»",50.4525,30.446944
"Мережа Книгарень «Є»",50.451389,30.597778
"Мережа Книгарень «Є»",50.4475,30.512222
"Мережа Книгарень «Є»",50.456944,30.613056
"Мережа Книгарень «Є»",50.426944,30.463889
"Мережа Книгарень «Є»",50.465556,30.515556
"Мережа Книгарень «Є»",50.524722,30.497778
"Мережа Книгарень «Є»",50.428333,30.537222
"Мережа Книгарень «Є»",50.455556,30.5175
